tripinfos [xmlns:xsi],tripinfos [xsi:noNamespaceSchemaLocation],tripinfo [arrivalLane],tripinfo [arrivalPos],tripinfo [arrivalSpeed],tripinfo [arrival],tripinfo [departDelay],tripinfo [departLane],tripinfo [departPos],tripinfo [departSpeed],tripinfo [depart],tripinfo [devices],tripinfo [duration],tripinfo [id],tripinfo [rerouteNo],tripinfo [routeLength],tripinfo [speedFactor],tripinfo [stopTime],tripinfo [timeLoss],tripinfo [vType],tripinfo [vaporized],tripinfo [waitingCount],tripinfo [waitingTime]
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546669_0,48.15,8.92,1550.00,0.92,-7546637#1_0,7.20,0.00,1385.00,tripinfo_truck2995 routing_truck2995,165.00,truck2995,1,1598.87,1.13,0.00,36.90,truck_truck,,1,5.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7519870_0,146.83,8.08,1551.00,0.85,7519728#9_0,7.20,0.00,1378.00,tripinfo_truck2980 routing_truck2980,173.00,truck2980,1,1361.29,1.05,0.00,27.30,truck_truck,,1,4.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7331793#6_0,11.76,8.31,1552.00,0.13,-7546637#1_0,5.10,0.00,75.00,tripinfo_veh243 routing_veh243,1477.00,veh243,1,17160.72,1.02,0.00,501.18,veh_passenger,,12,250.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327147#1_0,10.11,13.55,1553.00,3.08,-7329832#1_0,5.10,0.00,1093.00,tripinfo_myflow5.21 routing_myflow5.21,460.00,myflow5.21,1,1953.83,1.04,0.00,285.20,DEFAULT_VEHTYPE,,6,179.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327147#0_0,12.32,14.08,1553.00,0.00,-7329725#7_0,5.10,0.00,1116.00,tripinfo_myflow2.12 routing_myflow2.12,437.00,myflow2.12,1,1727.72,1.02,0.00,253.66,DEFAULT_VEHTYPE,,5,183.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7520146#0_0,14.87,7.38,1553.00,0.47,7519495#15_0,12.10,0.00,1409.00,tripinfo_bus1524 routing_bus1524,144.00,bus1524,1,1101.85,1.00,0.00,22.36,bus_bus,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,148739666#1_0,374.17,12.70,1555.00,0.89,469234755#1_0,5.10,0.00,809.00,tripinfo_veh2623 routing_veh2623,746.00,veh2623,1,10385.37,0.99,0.00,102.60,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327147#0_0,12.32,12.44,1557.00,0.00,-7329725#7_0,5.10,0.00,1152.00,tripinfo_myflow2.14 routing_myflow2.14,405.00,myflow2.14,1,1727.72,0.98,0.00,214.07,DEFAULT_VEHTYPE,,5,138.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,6.08,1557.00,0.50,-275095923#6_0,5.10,0.00,1483.00,tripinfo_myflow1.79 routing_myflow1.79,74.00,myflow1.79,1,541.87,1.08,0.00,15.21,DEFAULT_VEHTYPE,,1,2.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7510821#1_0,32.70,7.04,1558.00,0.14,7511024#0_0,5.10,7.73,1389.00,tripinfo_veh4508 routing_veh4508,169.00,veh4508,1,1431.99,0.93,0.00,26.50,veh_passenger,,1,8.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,231684806#2_0,59.10,6.75,1560.00,0.47,7546641#1_0,5.10,0.00,1312.00,tripinfo_veh4257 routing_veh4257,248.00,veh4257,1,2634.33,0.94,0.00,23.58,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7520231#4_0,99.14,14.29,1561.00,0.30,-1019437360#0_0,5.10,0.00,1269.00,tripinfo_veh4118 routing_veh4118,292.00,veh4118,1,3205.15,1.05,0.00,61.96,veh_passenger,,2,21.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7329725#7_0,29.34,8.07,1561.00,7.00,7327147#0_0,5.10,0.00,1402.00,tripinfo_myflow3.55 routing_myflow3.55,159.00,myflow3.55,1,1444.34,1.05,0.00,37.38,DEFAULT_VEHTYPE,,1,7.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7519692#5_0,17.48,3.95,1562.00,0.51,-7330361#3_0,5.10,0.00,861.00,tripinfo_veh2793 routing_veh2793,701.00,veh2793,1,9889.10,1.07,0.00,159.62,veh_passenger,,4,67.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7546719#1_0,209.80,7.83,1563.00,0.92,-7517175#1_0,12.10,0.00,683.00,tripinfo_bus738 routing_bus738,880.00,bus738,1,12060.34,1.00,0.00,131.57,bus_bus,,3,15.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7517212#2_0,49.04,12.37,1563.00,0.32,7330156#4_0,5.10,0.00,830.00,tripinfo_veh2693 routing_veh2693,733.00,veh2693,1,9333.05,0.96,0.00,292.43,veh_passenger,,7,160.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7511239#8_0,6.95,13.73,1563.00,0.65,-7510672#3_0,7.20,0.00,1357.00,tripinfo_truck2935 routing_truck2935,206.00,truck2935,1,2458.04,1.03,0.00,17.28,truck_truck,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,59312878#3_0,85.44,13.84,1564.00,0.27,706077758_3,5.10,0.00,809.00,tripinfo_veh2625 routing_veh2625,755.00,veh2625,1,9491.63,1.08,0.00,353.74,veh_passenger,,6,282.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7332902#5_0,0.20,8.10,1566.00,0.47,7333384#3_0,12.10,0.00,1348.00,tripinfo_bus1458 routing_bus1458,218.00,bus1458,1,2369.37,1.00,0.00,35.60,bus_bus,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7510862#1_0,11.14,8.63,1569.00,0.74,-7333540#6_0,0.20,0.00,1222.00,tripinfo_veh3964 routing_veh3964,347.00,veh3964,1,4412.57,1.05,0.00,67.13,veh_passenger,,2,4.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7516857#3_0,35.57,7.75,1572.00,0.72,525988366_0,12.10,0.00,717.00,tripinfo_bus775 routing_bus775,855.00,bus775,1,8994.02,1.00,0.00,187.41,bus_bus,,4,51.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7517122#1_0,92.65,13.73,1573.00,0.64,-7326753#0_0,3.20,0.00,533.00,tripinfo_bus576 routing_bus576,1040.00,bus576,1,10136.10,1.00,0.00,464.18,bus_bus,,14,250.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,231684806#5_0,40.76,5.20,1573.00,0.48,7333286#2_0,3.55,0.00,523.00,tripinfo_veh1696 routing_veh1696,1050.00,veh1696,1,10359.74,0.76,0.00,119.77,veh_passenger,,1,1.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,45896564#1_0,0.20,8.64,1573.00,0.94,7510355#2_0,12.10,0.00,1342.00,tripinfo_bus1451 routing_bus1451,231.00,bus1451,1,1352.62,1.00,0.00,106.93,bus_bus,,3,60.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546339#2_0,0.20,7.88,1573.00,0.07,7519728#4_0,7.20,0.00,1386.00,tripinfo_truck2999 routing_truck2999,187.00,truck2999,1,2121.66,1.01,0.00,20.80,truck_truck,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7326661#0_0,31.43,7.96,1574.00,0.00,-666958699#1_0,12.10,8.33,1476.00,tripinfo_bus1597 routing_bus1597,98.00,bus1597,1,860.06,1.00,0.00,9.75,bus_bus,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7547493#8_0,27.03,13.68,1575.00,0.04,-7333017_0,12.10,8.33,525.00,tripinfo_bus568 routing_bus568,1050.00,bus568,1,13228.91,1.00,0.00,192.04,bus_bus,,3,37.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327147#0_0,12.32,11.13,1577.00,0.00,-7329725#7_0,5.10,0.00,1314.00,tripinfo_myflow2.23 routing_myflow2.23,263.00,myflow2.23,1,1739.86,0.85,0.00,42.89,DEFAULT_VEHTYPE,,2,11.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,1019437360#9_0,9.45,14.63,1579.00,0.32,-7519523_0,5.10,0.00,1253.00,tripinfo_veh4066 routing_veh4066,326.00,veh4066,1,3272.28,1.06,0.00,118.70,veh_passenger,,4,73.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1235554244#0_0,3.07,9.04,1581.00,0.66,-7551274#2_0,5.10,9.14,509.00,tripinfo_veh1650 routing_veh1650,1072.00,veh1650,1,17015.69,1.10,0.00,297.24,veh_passenger,,7,134.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7510677#2_0,14.60,16.19,1581.00,0.80,7546764#2_0,0.20,0.00,816.00,tripinfo_veh2646 routing_veh2646,765.00,veh2646,1,9986.40,1.26,0.00,234.77,veh_passenger,,4,44.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,89976334#1_0,48.97,9.79,1581.00,0.17,7517459#0_1,5.10,0.00,1251.00,tripinfo_veh4060 routing_veh4060,330.00,veh4060,1,2968.28,1.20,0.00,149.37,veh_passenger,,4,81.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,353934796#12_0,23.16,8.20,1582.00,0.25,-7547344#2_0,12.10,0.00,601.00,tripinfo_bus650 routing_bus650,981.00,bus650,1,9539.65,1.00,0.00,310.90,bus_bus,,11,105.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546205#4_0,49.86,13.46,1582.00,0.94,-89513874#0_0,5.10,0.00,1184.00,tripinfo_veh3840 routing_veh3840,398.00,veh3840,1,4016.32,1.00,0.00,103.83,veh_passenger,,2,63.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-722580163#0_0,35.88,8.45,1582.00,0.60,-7549251#3_0,5.10,23.73,1330.00,tripinfo_veh4315 routing_veh4315,252.00,veh4315,1,3701.63,1.07,0.00,47.73,veh_passenger,,1,22.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,188344466#2_0,43.71,3.22,1583.00,0.03,298629248#0_2,5.10,0.00,814.00,tripinfo_veh2642 routing_veh2642,769.00,veh2642,1,14002.45,1.01,0.00,127.64,veh_passenger,,3,45.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,152220704#0_0,0.20,7.75,1583.00,2.90,1193024675_1,5.10,0.00,1279.00,tripinfo_veh4142 routing_veh4142,304.00,veh4142,1,3522.30,0.98,0.00,60.38,veh_passenger,,3,13.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327147#1_0,10.11,14.22,1583.00,3.22,-7329832#1_0,5.10,0.00,1390.00,tripinfo_myflow5.54 routing_myflow5.54,193.00,myflow5.54,1,828.62,1.07,0.00,136.64,DEFAULT_VEHTYPE,,2,98.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546764#0_0,63.13,6.26,1584.00,1.83,1019437360#5_0,2.87,0.00,1305.00,tripinfo_bus1410 routing_bus1410,279.00,bus1410,1,2624.92,1.00,0.00,67.10,bus_bus,,2,7.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7510638_0,549.37,12.26,1584.00,0.25,7510499_0,5.10,8.46,1362.00,tripinfo_veh4420 routing_veh4420,222.00,veh4420,1,2139.05,1.02,0.00,53.36,veh_passenger,,2,11.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7519809#8_0,7.13,7.16,1584.00,0.14,1236606613#0_0,7.20,0.00,1387.00,tripinfo_truck3001 routing_truck3001,197.00,truck3001,1,1605.25,0.89,0.00,42.45,truck_truck,,1,16.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327147#1_0,10.11,14.89,1586.00,0.06,-7329832#1_0,5.10,0.00,1027.00,tripinfo_myflow5.14 routing_myflow5.14,559.00,myflow5.14,1,3881.36,1.13,0.00,266.73,DEFAULT_VEHTYPE,,6,175.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7519491#12_0,38.71,10.56,1587.00,0.55,89964147#0_0,5.10,6.77,1191.00,tripinfo_veh3864 routing_veh3864,396.00,veh3864,1,4726.74,0.81,0.00,54.87,veh_passenger,,2,3.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7519583_0,30.88,14.94,1587.00,0.76,806819464_0,5.10,0.00,1206.00,tripinfo_veh3912 routing_veh3912,381.00,veh3912,1,4672.38,0.91,0.00,70.13,veh_passenger,,1,12.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7546270#0_0,0.10,8.31,1588.00,0.05,7330127#8_0,12.10,0.00,757.00,tripinfo_bus819 routing_bus819,831.00,bus819,1,12421.26,1.00,0.00,131.53,bus_bus,,1,34.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7547204#1_0,37.74,3.47,1588.00,0.27,-1027108288#1_0,5.10,0.00,1350.00,tripinfo_veh4381 routing_veh4381,238.00,veh4381,1,1966.44,0.98,0.00,43.49,veh_passenger,,1,8.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,10.31,1588.00,0.00,-275095923#6_0,5.10,0.00,1500.00,tripinfo_myflow1.80 routing_myflow1.80,88.00,myflow1.80,1,541.87,0.81,0.00,9.23,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-602549449#6_0,84.36,7.86,1589.00,0.28,7516521#5_0,12.10,0.00,699.00,tripinfo_bus756 routing_bus756,890.00,bus756,1,6744.64,1.00,0.00,376.29,bus_bus,,11,179.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7511684#3_0,23.66,7.36,1589.00,0.23,7330320#5_0,5.10,0.00,1260.00,tripinfo_veh4089 routing_veh4089,329.00,veh4089,1,2740.38,0.98,0.00,65.30,veh_passenger,,2,7.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7546229#1_0,24.14,7.50,1589.00,0.00,-7519975#1_0,5.10,0.00,1497.00,tripinfo_veh4859 routing_veh4859,92.00,veh4859,1,851.43,0.93,0.00,16.59,veh_passenger,,1,3.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-57384647#4_0,19.97,7.29,1590.00,0.04,-195268726#1_0,5.10,0.00,1351.00,tripinfo_veh4385 routing_veh4385,239.00,veh4385,1,1830.14,0.88,0.00,44.10,veh_passenger,,0,0.00
